node_id,text
203,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
204,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
205,"An honest tale speeds best, being plainly told."
206,Not stepping o'er the bounds of modesty.
207,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
208,Do you think I am easier to be played on than a pipe?
209,What's in a name? That which we call a rose by any other name would smell as sweet.
210,How bitter a thing it is to look into happiness through another man's eyes!
211,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
212,Now is the winter of our discontent.
213,Can one desire too much of a good thing?.
214,O! she doth teach the torches to burn bright.
215,"The fool doth think he is wise, but the wise man knows himself to be a fool."
216,A horse! a horse! my kingdom for a horse!.
217,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
218,Can one desire too much of a good thing?.
219,Not stepping o'er the bounds of modesty.
220,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
221,"I will speak daggers to her, but use none."
222,A horse! a horse! my kingdom for a horse!.
223,"It is the east, and Juliet is the sun."
224,"An honest tale speeds best, being plainly told."
225,"So wise so young, they say, do never live long."
226,"O Romeo, Romeo! wherefore art thou Romeo?."
227,O! she doth teach the torches to burn bright.
228,"So wise so young, they say, do never live long."
229,"To be, or not to be: that is the question."
230,"Though this be madness, yet there is method in 't."
231,"A little more than kin, and less than kind."
232,"It is the east, and Juliet is the sun."
233,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
234,"The fool doth think he is wise, but the wise man knows himself to be a fool."
235,I like this place and willingly could waste my time in it.
236,I like this place and willingly could waste my time in it.
237,Off with his head!
238,What's in a name? That which we call a rose by any other name would smell as sweet.
239,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
240,"It is the east, and Juliet is the sun."
241,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
242,True is it that we have seen better days.
243,"It is the east, and Juliet is the sun."
244,Tempt not a desperate man.
245,Brevity is the soul of wit.
246,Tempt not a desperate man.
247,True is it that we have seen better days.
248,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
249,"O Romeo, Romeo! wherefore art thou Romeo?."
250,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
251,How bitter a thing it is to look into happiness through another man's eyes!
252,"I will speak daggers to her, but use none."
253,"A little more than kin, and less than kind."
254,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
255,Now is the winter of our discontent.
256,Now is the winter of our discontent.
257,For ever and a day.
258,A horse! a horse! my kingdom for a horse!.
259,For ever and a day.
260,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
261,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
262,"The world is grown so bad, that wrens make prey where eagles dare not perch."
263,The play 's the thing wherein I'll catch the conscience of the king.
264,"And it must follow, as the night the day, thou canst not then be false to any man."
265,"Though this be madness, yet there is method in 't."
266,O! she doth teach the torches to burn bright.
267,"So wise so young, they say, do never live long."
268,Off with his head!
269,"The lady doth protest too much, methinks."
270,O! she doth teach the torches to burn bright.
271,"The fool doth think he is wise, but the wise man knows himself to be a fool."
272,How bitter a thing it is to look into happiness through another man's eyes!
273,Brevity is the soul of wit.
274,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
275,Not stepping o'er the bounds of modesty.
276,"So wise so young, they say, do never live long."
277,For you and I are past our dancing days.
278,Off with his head!
279,Off with his head!
280,"An honest tale speeds best, being plainly told."
281,How bitter a thing it is to look into happiness through another man's eyes!
282,"O Romeo, Romeo! wherefore art thou Romeo?."
283,Do you think I am easier to be played on than a pipe?
284,True is it that we have seen better days.
285,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
286,How bitter a thing it is to look into happiness through another man's eyes!
287,The play 's the thing wherein I'll catch the conscience of the king.
288,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
289,Off with his head!
290,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
291,I like this place and willingly could waste my time in it.
292,Tempt not a desperate man.
293,Brevity is the soul of wit.
294,Now is the winter of our discontent.
295,"An honest tale speeds best, being plainly told."
296,Brevity is the soul of wit.
297,Can one desire too much of a good thing?.
298,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
299,How bitter a thing it is to look into happiness through another man's eyes!
300,Wisely and slow; they stumble that run fast.
301,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
302,O! she doth teach the torches to burn bright.
303,Wisely and slow; they stumble that run fast.
304,The king's name is a tower of strength.
305,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
306,Tempt not a desperate man.
307,The play 's the thing wherein I'll catch the conscience of the king.
308,Not stepping o'er the bounds of modesty.
309,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
310,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
311,For ever and a day.
312,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
313,Brevity is the soul of wit.
314,Not stepping o'er the bounds of modesty.
315,"O Romeo, Romeo! wherefore art thou Romeo?."
316,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
317,Now is the winter of our discontent.
318,"O Romeo, Romeo! wherefore art thou Romeo?."
319,"I will speak daggers to her, but use none."
320,"And it must follow, as the night the day, thou canst not then be false to any man."
321,The king's name is a tower of strength.
322,Off with his head!
323,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
324,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
325,The play 's the thing wherein I'll catch the conscience of the king.
326,"The world is grown so bad, that wrens make prey where eagles dare not perch."
327,The king's name is a tower of strength.
328,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
329,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
330,Off with his head!
331,Wisely and slow; they stumble that run fast.
332,I like this place and willingly could waste my time in it.
333,"The world is grown so bad, that wrens make prey where eagles dare not perch."
334,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
335,"So wise so young, they say, do never live long."
336,A horse! a horse! my kingdom for a horse!.
337,"It is the east, and Juliet is the sun."
338,What's in a name? That which we call a rose by any other name would smell as sweet.
339,A horse! a horse! my kingdom for a horse!.
340,In my mind's eye.
341,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
342,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
343,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
344,I like this place and willingly could waste my time in it.
345,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
346,"O Romeo, Romeo! wherefore art thou Romeo?."
347,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
348,Now is the winter of our discontent.
349,Can one desire too much of a good thing?.
350,The king's name is a tower of strength.
351,"When sorrows come, they come not single spies, but in battalions."
352,The play 's the thing wherein I'll catch the conscience of the king.
353,"The fool doth think he is wise, but the wise man knows himself to be a fool."
354,"The world is grown so bad, that wrens make prey where eagles dare not perch."
355,Now is the winter of our discontent.
356,A horse! a horse! my kingdom for a horse!.
357,Now is the winter of our discontent.
358,"The fool doth think he is wise, but the wise man knows himself to be a fool."
359,Off with his head!
360,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
361,Do you think I am easier to be played on than a pipe?
362,"The fool doth think he is wise, but the wise man knows himself to be a fool."
363,I like this place and willingly could waste my time in it.
364,"An honest tale speeds best, being plainly told."
365,A horse! a horse! my kingdom for a horse!.
366,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
367,Brevity is the soul of wit.
368,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
369,True is it that we have seen better days.
370,In my mind's eye.
371,O! she doth teach the torches to burn bright.
372,This above all: to thine own self be true.
373,"The fool doth think he is wise, but the wise man knows himself to be a fool."
374,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
375,Can one desire too much of a good thing?.
376,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
377,For you and I are past our dancing days.
378,Wisely and slow; they stumble that run fast.
379,Tempt not a desperate man.
380,Wisely and slow; they stumble that run fast.
381,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
382,I like this place and willingly could waste my time in it.
383,A horse! a horse! my kingdom for a horse!.
384,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
385,Not stepping o'er the bounds of modesty.
386,"So wise so young, they say, do never live long."
387,I like this place and willingly could waste my time in it.
388,True is it that we have seen better days.
389,True is it that we have seen better days.
390,True is it that we have seen better days.
391,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
392,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
393,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
394,"O Romeo, Romeo! wherefore art thou Romeo?."
395,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
396,How bitter a thing it is to look into happiness through another man's eyes!
397,O! she doth teach the torches to burn bright.
398,"O Romeo, Romeo! wherefore art thou Romeo?."
399,"It is the east, and Juliet is the sun."
400,The king's name is a tower of strength.
401,"To be, or not to be: that is the question."
402,"It is the east, and Juliet is the sun."
403,"A little more than kin, and less than kind."
404,"O Romeo, Romeo! wherefore art thou Romeo?."
405,What's in a name? That which we call a rose by any other name would smell as sweet.
406,For ever and a day.
407,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
408,True is it that we have seen better days.
409,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
410,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
411,Wisely and slow; they stumble that run fast.
412,Wisely and slow; they stumble that run fast.
413,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
414,"To be, or not to be: that is the question."
415,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
416,"A little more than kin, and less than kind."
417,"And it must follow, as the night the day, thou canst not then be false to any man."
418,The play 's the thing wherein I'll catch the conscience of the king.
419,That it should come to this!.
420,True is it that we have seen better days.
421,"The fool doth think he is wise, but the wise man knows himself to be a fool."
422,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
423,"And it must follow, as the night the day, thou canst not then be false to any man."
424,I like this place and willingly could waste my time in it.
425,True is it that we have seen better days.
426,"The world is grown so bad, that wrens make prey where eagles dare not perch."
427,In my mind's eye.
428,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
429,Rich gifts wax poor when givers prove unkind.
430,What's in a name? That which we call a rose by any other name would smell as sweet.
431,Can one desire too much of a good thing?.
432,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
433,This above all: to thine own self be true.
434,True is it that we have seen better days.
435,Rich gifts wax poor when givers prove unkind.
436,I like this place and willingly could waste my time in it.
437,I like this place and willingly could waste my time in it.
438,A horse! a horse! my kingdom for a horse!.
439,Can one desire too much of a good thing?.
440,O! she doth teach the torches to burn bright.
441,How bitter a thing it is to look into happiness through another man's eyes!
442,"The world is grown so bad, that wrens make prey where eagles dare not perch."
443,Can one desire too much of a good thing?.
444,Now is the winter of our discontent.
445,For ever and a day.
446,"So wise so young, they say, do never live long."
447,O! she doth teach the torches to burn bright.
448,Now is the winter of our discontent.
449,"A little more than kin, and less than kind."
450,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
451,Wisely and slow; they stumble that run fast.
452,The play 's the thing wherein I'll catch the conscience of the king.
453,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
454,For you and I are past our dancing days.
455,"The world is grown so bad, that wrens make prey where eagles dare not perch."
456,Wisely and slow; they stumble that run fast.
457,Off with his head!
458,The king's name is a tower of strength.
459,"The world is grown so bad, that wrens make prey where eagles dare not perch."
460,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
461,Do you think I am easier to be played on than a pipe?
462,A horse! a horse! my kingdom for a horse!.
463,The king's name is a tower of strength.
464,Now is the winter of our discontent.
465,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
466,Can one desire too much of a good thing?.
467,This above all: to thine own self be true.
468,"And it must follow, as the night the day, thou canst not then be false to any man."
469,Tempt not a desperate man.
470,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
471,Wisely and slow; they stumble that run fast.
472,Now is the winter of our discontent.
473,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
474,The play 's the thing wherein I'll catch the conscience of the king.
475,This above all: to thine own self be true.
476,The king's name is a tower of strength.
477,I like this place and willingly could waste my time in it.
478,"An honest tale speeds best, being plainly told."
479,"The world is grown so bad, that wrens make prey where eagles dare not perch."
480,Wisely and slow; they stumble that run fast.
481,Off with his head!
482,The king's name is a tower of strength.
483,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
484,"An honest tale speeds best, being plainly told."
485,Do you think I am easier to be played on than a pipe?
486,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
487,"The world is grown so bad, that wrens make prey where eagles dare not perch."
488,"So wise so young, they say, do never live long."
489,"I will speak daggers to her, but use none."
490,Now is the winter of our discontent.
491,A horse! a horse! my kingdom for a horse!.
492,The play 's the thing wherein I'll catch the conscience of the king.
493,"The fool doth think he is wise, but the wise man knows himself to be a fool."
494,Off with his head!
495,I like this place and willingly could waste my time in it.
496,"A little more than kin, and less than kind."
497,"There is nothing either good or bad, but thinking makes it so."
498,"It is the east, and Juliet is the sun."
499,For ever and a day.
500,How bitter a thing it is to look into happiness through another man's eyes!
501,I like this place and willingly could waste my time in it.
502,The king's name is a tower of strength.
503,"A little more than kin, and less than kind."
504,"There is nothing either good or bad, but thinking makes it so."
505,O! she doth teach the torches to burn bright.
506,"And it must follow, as the night the day, thou canst not then be false to any man."
507,The king's name is a tower of strength.
508,"It is the east, and Juliet is the sun."
509,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
510,"When sorrows come, they come not single spies, but in battalions."
511,For ever and a day.
512,"It is the east, and Juliet is the sun."
513,"An honest tale speeds best, being plainly told."
514,O! she doth teach the torches to burn bright.
515,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
516,"The world is grown so bad, that wrens make prey where eagles dare not perch."
517,Off with his head!
518,"So wise so young, they say, do never live long."
519,The play 's the thing wherein I'll catch the conscience of the king.
520,"And it must follow, as the night the day, thou canst not then be false to any man."
521,"The world is grown so bad, that wrens make prey where eagles dare not perch."
522,"It is the east, and Juliet is the sun."
523,"The lady doth protest too much, methinks."
524,"It is the east, and Juliet is the sun."
525,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
526,"The world is grown so bad, that wrens make prey where eagles dare not perch."
527,The play 's the thing wherein I'll catch the conscience of the king.
528,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
529,"O Romeo, Romeo! wherefore art thou Romeo?."
530,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
531,"An honest tale speeds best, being plainly told."
532,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
533,For you and I are past our dancing days.
534,What's in a name? That which we call a rose by any other name would smell as sweet.
535,Wisely and slow; they stumble that run fast.
536,Rich gifts wax poor when givers prove unkind.
537,Wisely and slow; they stumble that run fast.
538,What's in a name? That which we call a rose by any other name would smell as sweet.
539,The play 's the thing wherein I'll catch the conscience of the king.
540,"It is the east, and Juliet is the sun."
541,"When sorrows come, they come not single spies, but in battalions."
542,Now is the winter of our discontent.
543,Do you think I am easier to be played on than a pipe?
544,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
545,What's in a name? That which we call a rose by any other name would smell as sweet.
546,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
547,"So wise so young, they say, do never live long."
548,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
549,Rich gifts wax poor when givers prove unkind.
550,What's in a name? That which we call a rose by any other name would smell as sweet.
551,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
552,In my mind's eye.
553,For ever and a day.
554,I like this place and willingly could waste my time in it.
555,Now is the winter of our discontent.
556,"The world is grown so bad, that wrens make prey where eagles dare not perch."
557,"Though this be madness, yet there is method in 't."
558,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
559,"So wise so young, they say, do never live long."
560,I like this place and willingly could waste my time in it.
561,O! she doth teach the torches to burn bright.
562,Do you think I am easier to be played on than a pipe?
563,This above all: to thine own self be true.
564,"Though this be madness, yet there is method in 't."
565,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
566,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
567,"The world is grown so bad, that wrens make prey where eagles dare not perch."
568,"So wise so young, they say, do never live long."
569,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
570,"When sorrows come, they come not single spies, but in battalions."
571,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
572,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
573,How bitter a thing it is to look into happiness through another man's eyes!
574,"To be, or not to be: that is the question."
575,"An honest tale speeds best, being plainly told."
576,That it should come to this!.
577,A horse! a horse! my kingdom for a horse!.
578,"So wise so young, they say, do never live long."
579,True is it that we have seen better days.
580,"The world is grown so bad, that wrens make prey where eagles dare not perch."
581,"And it must follow, as the night the day, thou canst not then be false to any man."
582,"So wise so young, they say, do never live long."
583,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
584,"A little more than kin, and less than kind."
585,"The fool doth think he is wise, but the wise man knows himself to be a fool."
586,For you and I are past our dancing days.
587,Not stepping o'er the bounds of modesty.
588,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
589,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
590,True is it that we have seen better days.
591,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
592,"To be, or not to be: that is the question."
593,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
594,Off with his head!
595,"And it must follow, as the night the day, thou canst not then be false to any man."
596,Can one desire too much of a good thing?.
597,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love."
598,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
599,I like this place and willingly could waste my time in it.
600,"O Romeo, Romeo! wherefore art thou Romeo?."
601,What's in a name? That which we call a rose by any other name would smell as sweet.
602,For ever and a day.
603,That it should come to this!.
604,"And it must follow, as the night the day, thou canst not then be false to any man."
605,"An honest tale speeds best, being plainly told."
606,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
607,Off with his head!
608,What's in a name? That which we call a rose by any other name would smell as sweet.
609,"So wise so young, they say, do never live long."
610,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
611,"The fool doth think he is wise, but the wise man knows himself to be a fool."
612,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
613,"The world is grown so bad, that wrens make prey where eagles dare not perch."
614,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
615,For ever and a day.
616,What's in a name? That which we call a rose by any other name would smell as sweet.
617,"There is nothing either good or bad, but thinking makes it so."
618,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
619,Wisely and slow; they stumble that run fast.
620,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!."
621,Can one desire too much of a good thing?.
622,I like this place and willingly could waste my time in it.
623,"A little more than kin, and less than kind."
624,In my mind's eye.
625,For ever and a day.
626,"O Romeo, Romeo! wherefore art thou Romeo?."
627,"When sorrows come, they come not single spies, but in battalions."
628,Wisely and slow; they stumble that run fast.
629,"So wise so young, they say, do never live long."
630,That it should come to this!.
631,Not stepping o'er the bounds of modesty.
632,I like this place and willingly could waste my time in it.
633,For ever and a day.
634,"There is nothing either good or bad, but thinking makes it so."
635,Brevity is the soul of wit.
636,"The world is grown so bad, that wrens make prey where eagles dare not perch."
637,A horse! a horse! my kingdom for a horse!.
638,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
639,For ever and a day.
640,In my mind's eye.
641,"It is the east, and Juliet is the sun."
642,The king's name is a tower of strength.
643,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
644,"I will speak daggers to her, but use none."
645,A horse! a horse! my kingdom for a horse!.
646,Off with his head!
647,In my mind's eye.
648,How bitter a thing it is to look into happiness through another man's eyes!
649,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
650,That it should come to this!.
651,"The world is grown so bad, that wrens make prey where eagles dare not perch."
652,"To be, or not to be: that is the question."
653,Rich gifts wax poor when givers prove unkind.
654,"And it must follow, as the night the day, thou canst not then be false to any man."
655,In my mind's eye.
656,"Though this be madness, yet there is method in 't."
657,"Good Night, Good night! Parting is such sweet sorrow, that I shall say good night till it be morrow."
658,A horse! a horse! my kingdom for a horse!.
659,How bitter a thing it is to look into happiness through another man's eyes!
660,What's in a name? That which we call a rose by any other name would smell as sweet.
661,"A little more than kin, and less than kind."
662,"The fool doth think he is wise, but the wise man knows himself to be a fool."
663,The king's name is a tower of strength.
664,Brevity is the soul of wit.
665,"So wise so young, they say, do never live long."
666,Wisely and slow; they stumble that run fast.
667,Not stepping o'er the bounds of modesty.
668,"And it must follow, as the night the day, thou canst not then be false to any man."
669,"The fool doth think he is wise, but the wise man knows himself to be a fool."
670,"There is nothing either good or bad, but thinking makes it so."
671,"I will speak daggers to her, but use none."
672,For ever and a day.
673,For ever and a day.
674,"I will speak daggers to her, but use none."
675,"I will speak daggers to her, but use none."
676,"When sorrows come, they come not single spies, but in battalions."
677,Tempt not a desperate man.
678,I like this place and willingly could waste my time in it.
679,True is it that we have seen better days.
680,Can one desire too much of a good thing?.
681,A horse! a horse! my kingdom for a horse!.
682,"I will speak daggers to her, but use none."
683,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! ."
684,Tempt not a desperate man.
685,"An honest tale speeds best, being plainly told."
686,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
687,"Conscience is but a word that cowards use, devised at first to keep the strong in awe."
688,For ever and a day.
689,Can one desire too much of a good thing?.
690,I like this place and willingly could waste my time in it.
691,"The lady doth protest too much, methinks."
692,"It is the east, and Juliet is the sun."
693,For ever and a day.
694,"A little more than kin, and less than kind."
695,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
696,The play 's the thing wherein I'll catch the conscience of the king.
697,"The fool doth think he is wise, but the wise man knows himself to be a fool."
698,Can one desire too much of a good thing?.
699,How bitter a thing it is to look into happiness through another man's eyes!
700,A horse! a horse! my kingdom for a horse!.
701,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.
702,Do you think I am easier to be played on than a pipe?
703,"An honest tale speeds best, being plainly told."
704,This above all: to thine own self be true.
705,How bitter a thing it is to look into happiness through another man's eyes!
706,"The world is grown so bad, that wrens make prey where eagles dare not perch."
707,Rich gifts wax poor when givers prove unkind.
708,"Blow, blow, thou winter wind! Thou art not so unkind as man's ingratitude."
709,A horse! a horse! my kingdom for a horse!.
710,A horse! a horse! my kingdom for a horse!.
711,The king's name is a tower of strength.
712,I like this place and willingly could waste my time in it.
713,"The world is grown so bad, that wrens make prey where eagles dare not perch."
714,"I will speak daggers to her, but use none."
715,"There is nothing either good or bad, but thinking makes it so."
716,Now is the winter of our discontent.
717,"A little more than kin, and less than kind."
718,Now is the winter of our discontent.
719,A horse! a horse! my kingdom for a horse!.
720,Off with his head!
721,That it should come to this!.
722,For ever and a day.
723,Wisely and slow; they stumble that run fast.
724,Not stepping o'er the bounds of modesty.
725,Now is the winter of our discontent.
726,"To be, or not to be: that is the question."
727,True is it that we have seen better days.
728,I like this place and willingly could waste my time in it.
729,Off with his head!
730,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry."
731,In my mind's eye.
732,A horse! a horse! my kingdom for a horse!.
733,Off with his head!
734,A horse! a horse! my kingdom for a horse!.
735,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
736,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts."
737,This above all: to thine own self be true.
738,A horse! a horse! my kingdom for a horse!.
739,"O Romeo, Romeo! wherefore art thou Romeo?."
