Left,Right,Date
83,318,11-08-2015
43,304,28-05-2015
44,416,25-09-2016
39,1283,20-07-2017
66,1017,21-12-2016
117,303,03-07-2016
67,277,16-03-2017
115,1006,07-07-2017
38,675,07-09-2017
69,1525,29-09-2017
35,613,06-01-2017
133,326,07-07-2015
97,954,15-12-2017
54,1550,15-02-2017
70,1242,26-12-2017
66,1416,15-12-2015
6,1162,07-11-2017
87,687,04-08-2016
82,1183,27-06-2017
117,308,23-02-2016
48,1167,30-07-2015
20,824,18-07-2017
119,837,25-01-2017
68,1010,27-08-2015
91,582,04-03-2016
20,242,05-11-2017
43,208,10-02-2016
65,1498,11-06-2017
100,1039,18-11-2015
103,438,01-06-2016
18,738,22-11-2015
110,1564,25-07-2016
117,1372,08-03-2016
69,971,23-08-2015
129,868,28-07-2017
69,1282,30-10-2017
83,912,07-07-2015
60,1033,28-10-2017
31,1506,01-02-2016
74,352,09-08-2015
54,1619,28-08-2017
85,1192,15-03-2016
36,1261,30-03-2016
121,446,30-11-2016
27,1443,19-04-2016
57,443,17-05-2016
3,843,13-08-2015
63,1338,12-05-2017
14,1431,15-04-2017
91,407,17-08-2016
143,368,23-06-2017
117,1380,14-07-2017
43,767,24-10-2017
50,939,08-09-2016
51,1298,06-08-2017
71,562,11-12-2016
103,631,30-05-2017
136,581,28-03-2017
2,1016,18-08-2016
84,716,11-10-2015
45,821,18-07-2016
26,822,20-03-2016
130,944,19-05-2016
120,874,24-12-2016
53,384,11-11-2017
105,186,02-10-2015
18,230,25-04-2016
32,302,01-07-2017
92,1263,05-05-2015
61,1434,24-09-2015
89,1408,07-08-2017
137,760,08-04-2017
50,1144,01-10-2017
32,656,11-11-2017
20,477,20-08-2015
46,616,28-11-2016
79,898,12-01-2017
10,1460,13-01-2016
23,1018,18-03-2016
53,717,07-10-2017
12,1541,23-11-2017
19,733,30-01-2016
18,1551,10-12-2017
98,1394,23-11-2017
108,251,10-08-2017
112,1637,19-12-2015
6,888,15-04-2016
42,1473,21-04-2017
100,796,01-08-2015
130,1493,24-12-2017
57,449,05-12-2017
15,640,13-04-2017
131,1446,28-07-2017
27,395,25-06-2015
38,569,26-02-2016
39,466,30-03-2016
113,1211,11-01-2017
68,1266,28-12-2015
122,952,29-06-2017
133,976,11-12-2016
34,298,26-10-2017
83,210,19-05-2017
123,967,13-03-2016
112,642,29-03-2017
27,604,18-01-2016
70,452,25-06-2015
132,538,04-09-2017
113,694,01-05-2017
128,1490,26-01-2016
109,900,23-11-2015
96,835,29-08-2015
131,683,25-03-2017
90,175,17-06-2015
144,1100,09-06-2015
57,1031,30-06-2016
148,1086,22-10-2016
51,357,20-05-2015
91,979,22-12-2017
75,639,31-07-2016
57,1609,07-08-2015
69,1360,03-11-2016
87,1642,04-07-2015
73,823,14-04-2016
10,692,17-07-2017
70,332,16-12-2016
35,664,16-05-2015
76,1224,25-06-2016
7,924,28-10-2016
112,1435,05-01-2016
87,1104,21-03-2016
15,1009,10-05-2016
67,1612,13-07-2017
63,1521,21-11-2017
90,678,21-12-2015
68,611,18-02-2017
53,1101,09-08-2016
82,377,19-05-2015
55,812,12-04-2017
40,504,31-12-2016
92,389,26-03-2017
114,1390,21-08-2017
106,728,15-07-2017
146,1187,17-06-2015
96,1178,30-01-2016
65,1586,04-01-2016
32,493,17-08-2015
110,294,26-01-2017
10,1511,29-05-2016
20,1622,24-05-2016
109,927,06-04-2017
9,1193,18-09-2017
142,1077,09-01-2017
35,748,25-11-2015
138,1519,23-08-2015
122,1003,06-12-2016
97,1218,19-03-2016
87,1216,30-12-2015
64,274,06-10-2016
70,943,19-07-2015
137,1607,15-06-2015
78,1357,17-07-2016
6,1292,09-02-2016
46,885,25-02-2017
80,1605,15-08-2015
79,1172,04-02-2017
77,847,21-05-2017
94,699,20-12-2015
37,1444,16-02-2016
43,1350,19-08-2017
117,891,16-10-2015
66,167,29-11-2016
124,1058,06-08-2017
8,373,03-03-2016
81,1124,28-04-2017
50,311,12-11-2015
65,1257,07-12-2015
63,183,02-05-2015
134,1381,01-09-2015
16,1640,18-04-2016
101,1068,20-11-2016
80,674,17-04-2016
79,1071,04-06-2015
116,471,14-09-2015
66,410,16-09-2016
138,1230,31-05-2015
95,266,22-06-2015
1,1014,17-11-2015
149,661,06-10-2015
116,1484,23-04-2016
79,787,25-08-2015
47,1123,19-01-2017
43,372,16-05-2015
85,1000,27-08-2016
52,1320,13-07-2015
87,659,06-01-2016
19,926,23-05-2016
11,1335,07-08-2015
105,1186,16-07-2016
103,178,02-04-2017
136,179,08-06-2016
6,1411,15-09-2017
98,250,17-01-2016
106,331,15-10-2015
124,461,11-11-2015
14,1140,17-05-2015
98,221,03-09-2017
104,1153,07-07-2015
20,420,09-10-2015
149,1061,18-12-2016
84,436,01-02-2016
134,651,27-03-2017
15,347,10-03-2016
137,1095,18-02-2017
72,705,19-09-2016
145,635,01-10-2017
7,1626,28-06-2016
18,535,25-11-2016
71,830,22-06-2016
89,1098,21-11-2016
133,519,28-07-2016
42,486,22-04-2017
114,1552,13-05-2015
55,1212,11-06-2016
127,475,24-02-2016
90,1312,10-11-2015
106,543,17-02-2017
30,1066,28-06-2016
42,1453,04-03-2016
60,1441,11-01-2017
9,1302,19-07-2016
16,1189,29-01-2017
99,1119,24-07-2016
26,1634,24-06-2015
64,467,01-04-2016
132,1596,30-11-2015
90,1080,24-01-2017
111,158,17-05-2016
72,1234,02-08-2015
100,645,07-12-2016
2,836,21-10-2016
81,1365,09-06-2017
97,1155,11-03-2017
98,1462,28-06-2017
104,636,02-10-2017
58,768,19-11-2015
47,783,05-12-2017
96,663,05-11-2017
42,1604,02-09-2017
109,1438,26-09-2017
119,1572,15-05-2017
121,531,04-03-2017
20,402,12-03-2016
129,1115,23-07-2016
116,1614,12-11-2015
27,1333,09-07-2016
52,339,15-09-2015
103,997,10-03-2017
120,1621,30-03-2017
33,592,26-04-2016
113,1501,17-09-2015
39,875,09-02-2016
101,724,27-10-2016
37,1163,05-12-2017
8,1518,02-02-2016
74,220,07-03-2017
135,1558,11-09-2017
24,1370,16-11-2015
130,445,27-06-2015
98,1240,03-09-2016
128,1636,02-07-2017
7,1034,26-10-2016
143,727,29-06-2015
19,1630,20-03-2016
93,254,10-05-2017
10,546,05-07-2015
33,201,22-05-2017
82,1475,17-04-2017
124,667,16-07-2016
22,1303,07-08-2017
63,386,24-12-2017
97,399,12-11-2017
97,784,14-12-2016
144,508,03-02-2017
88,1067,27-10-2017
11,286,15-12-2016
80,1419,31-12-2015
42,1308,19-03-2016
11,1400,04-10-2016
141,1346,23-09-2015
25,1424,12-06-2015
52,270,30-07-2016
33,1601,10-09-2017
72,1232,06-07-2015
102,588,01-08-2016
67,1209,26-12-2017
83,236,17-07-2016
14,1570,28-08-2015
126,970,14-12-2015
91,1152,26-03-2016
30,1594,15-06-2017
101,1468,12-04-2017
118,1492,17-07-2017
142,214,25-06-2016
24,261,06-10-2017
9,1043,17-09-2017
53,1334,11-05-2015
79,615,26-07-2017
24,1233,08-04-2016
77,291,19-10-2015
48,1134,12-08-2015
144,378,14-06-2015
95,198,23-01-2017
62,594,16-02-2016
37,1219,29-07-2016
120,623,18-02-2016
46,547,31-07-2015
124,1231,16-08-2015
2,1542,19-09-2017
52,1286,21-08-2015
78,336,19-11-2015
149,953,17-01-2016
17,1451,28-12-2015
73,1585,02-03-2016
5,811,24-08-2017
108,786,05-09-2017
51,995,29-08-2017
108,1382,01-02-2016
62,1486,04-07-2015
57,426,25-01-2017
41,1203,19-08-2017
121,225,12-10-2017
130,1325,08-07-2016
60,544,19-07-2015
121,864,19-12-2017
7,1253,16-10-2017
136,1442,18-05-2015
11,814,19-06-2016
45,957,26-03-2017
74,1030,18-12-2015
71,566,06-08-2015
108,476,28-03-2016
58,324,04-07-2015
89,163,21-02-2017
4,1245,23-01-2016
104,595,05-05-2017
147,1543,18-12-2017
97,596,02-09-2016
118,206,30-11-2016
63,1328,26-09-2015
99,404,29-11-2017
34,609,17-07-2015
91,334,09-07-2016
64,1229,14-11-2016
100,672,12-11-2017
34,425,24-12-2016
44,351,05-12-2016
141,688,11-11-2016
16,646,31-08-2016
80,1399,05-07-2017
92,1274,18-12-2016
43,1271,02-04-2016
18,1281,18-10-2017
14,879,27-10-2015
142,800,24-04-2016
148,1228,04-12-2017
49,338,24-05-2017
140,1505,14-06-2015
119,1278,29-05-2017
146,1093,04-11-2016
141,1456,30-10-2015
59,1275,06-07-2017
80,492,11-03-2017
42,1353,06-08-2015
1,1160,19-12-2016
97,1135,17-07-2015
136,1589,09-08-2017
40,290,13-07-2016
60,360,18-06-2016
97,1514,09-04-2016
79,317,03-04-2016
127,185,09-11-2016
107,1556,28-04-2016
148,518,11-02-2017
77,739,21-07-2017
84,627,09-08-2017
38,844,26-12-2016
9,863,17-09-2016
88,858,13-12-2016
135,1069,31-07-2017
90,193,27-07-2017
67,278,24-07-2016
45,423,16-03-2017
42,371,31-03-2017
111,1645,25-07-2016
113,576,08-06-2016
15,1528,26-05-2016
136,1599,13-01-2017
63,961,07-11-2017
11,804,21-09-2016
3,597,13-05-2017
76,710,07-12-2015
87,385,23-01-2016
92,218,07-05-2016
54,514,17-11-2017
76,1023,27-05-2015
102,679,24-05-2016
78,714,27-05-2015
27,890,18-12-2016
28,292,05-01-2017
128,1179,23-04-2017
103,188,29-08-2015
26,1180,31-10-2017
73,460,30-12-2017
14,1648,27-03-2017
93,327,29-04-2016
19,1513,06-08-2017
75,852,03-10-2015
34,1268,04-09-2015
147,916,06-06-2017
1,353,06-09-2016
114,1250,29-01-2017
47,1036,15-07-2017
53,1315,25-10-2016
49,1629,15-03-2016
130,757,09-10-2015
133,1296,14-12-2015
57,781,08-08-2015
14,469,06-12-2016
37,390,26-03-2017
39,807,24-10-2016
138,579,03-07-2017
12,982,26-03-2017
21,1402,31-08-2017
36,1285,11-02-2017
66,1324,26-08-2016
53,978,14-09-2016
140,478,14-02-2017
29,911,05-06-2017
16,1384,24-12-2016
74,1013,09-09-2017
90,1398,02-03-2016
129,1118,20-10-2015
144,1107,15-04-2017
97,1156,02-05-2015
20,1355,09-09-2017
108,1201,09-07-2017
10,956,05-06-2016
141,1620,24-03-2016
113,1047,20-02-2017
25,759,31-12-2015
116,1575,06-04-2017
105,1633,23-12-2016
87,1221,15-11-2016
11,1522,31-01-2017
23,1025,16-08-2015
131,887,19-05-2016
71,1401,11-06-2017
86,361,29-09-2015
49,1329,26-02-2017
9,1038,20-12-2016
65,1452,11-07-2015
33,253,16-02-2016
62,1600,12-10-2015
67,1317,18-10-2016
5,388,24-06-2016
80,962,07-08-2015
39,1527,11-11-2015
69,177,18-12-2017
132,972,29-09-2015
13,1582,01-10-2017
6,1373,19-03-2017
109,1635,03-04-2016
10,842,12-09-2017
131,422,06-06-2016
34,1388,21-05-2016
133,660,18-10-2016
116,275,10-12-2015
114,1243,14-12-2015
64,256,18-09-2016
108,1094,11-02-2016
25,936,31-10-2016
127,283,24-12-2015
67,808,28-07-2015
76,1615,31-12-2015
47,729,07-03-2016
136,222,07-07-2016
51,578,11-03-2017
97,463,26-12-2015
48,841,16-08-2015
137,1544,16-07-2017
147,1116,09-05-2017
99,1280,01-11-2017
72,415,11-10-2016
15,1053,10-10-2017
60,721,25-05-2016
115,1352,06-11-2015
54,855,01-06-2017
66,941,11-06-2015
31,1270,10-06-2015
125,430,21-02-2016
149,157,12-12-2017
139,1587,13-02-2017
70,265,03-09-2015
141,570,12-08-2016
148,219,22-05-2016
25,590,10-12-2015
96,1639,06-04-2016
84,536,13-12-2017
30,1200,11-11-2016
68,815,22-06-2017
140,1616,11-01-2017
67,794,14-12-2015
66,408,15-05-2015
47,1106,08-03-2017
9,763,28-05-2017
10,816,16-02-2016
18,1059,26-08-2017
111,534,31-12-2016
119,180,11-07-2015
4,342,08-04-2016
130,1226,14-06-2016
85,171,25-07-2017
129,698,21-01-2017
122,527,18-01-2016
103,1580,24-06-2016
100,632,20-03-2016
92,777,14-07-2017
51,190,15-06-2015
75,309,05-12-2016
144,1326,24-06-2017
114,1195,23-01-2017
148,299,13-12-2017
126,1299,05-08-2017
57,1375,15-04-2016
124,293,20-09-2017
4,644,20-01-2016
34,998,10-12-2016
76,1332,22-09-2016
81,181,08-06-2017
54,1168,30-09-2015
83,414,17-06-2016
123,1368,29-07-2017
2,946,11-05-2016
73,831,17-09-2015
57,1420,02-05-2015
2,984,12-05-2015
96,853,17-04-2017
20,1540,10-11-2015
66,506,06-10-2017
106,771,04-09-2015
8,1562,24-01-2017
78,548,24-12-2016
28,1627,22-06-2016
39,517,16-05-2017
69,817,14-12-2017
17,340,29-10-2017
2,1450,16-09-2015
146,996,02-11-2015
122,1127,03-12-2015
55,1643,27-04-2017
140,1215,24-10-2016
128,393,21-08-2015
8,1291,25-07-2017
110,1161,26-12-2017
34,805,22-12-2017
34,1532,23-11-2015
42,505,25-02-2017
27,1311,06-12-2016
72,480,04-03-2016
85,173,11-09-2015
38,1120,13-05-2015
143,431,12-02-2017
34,1593,17-10-2015
76,1004,22-09-2017
39,370,22-10-2015
48,1632,04-11-2016
90,919,18-08-2017
115,599,08-08-2015
147,1638,24-05-2016
101,233,08-06-2015
58,542,14-06-2017
101,568,18-05-2016
50,268,04-07-2017
90,182,26-10-2015
33,1122,09-01-2017
106,450,01-03-2016
79,765,05-06-2016
107,1641,09-04-2016
149,358,02-06-2016
133,1385,09-12-2015
69,713,19-01-2016
66,913,06-03-2017
104,677,02-03-2017
10,364,29-10-2016
6,166,23-05-2016
41,747,30-03-2016
56,560,05-01-2017
10,780,16-09-2016
98,1258,24-08-2016
94,723,03-09-2016
123,1323,06-06-2015
65,935,12-12-2017
116,745,10-09-2015
74,1341,10-01-2016
143,574,13-10-2015
34,1405,14-03-2017
8,1042,20-02-2016
23,344,06-03-2016
108,1247,12-08-2017
4,622,09-05-2017
75,1470,23-12-2015
98,1246,28-05-2017
143,872,16-05-2016
66,921,15-04-2017
22,907,20-12-2016
93,894,15-09-2016
81,491,29-07-2017
13,792,19-01-2017
24,1310,29-08-2016
17,532,18-12-2016
23,701,13-10-2016
73,1560,23-03-2016
94,552,19-10-2016
58,1289,12-09-2016
131,772,10-12-2017
112,1126,02-05-2017
131,280,29-02-2016
107,1343,17-01-2016
137,750,18-05-2016
80,1191,03-09-2015
68,1369,21-12-2015
79,1065,04-10-2017
93,1361,24-07-2016
64,980,17-05-2015
146,1267,19-07-2015
66,1437,24-11-2016
17,1213,10-06-2016
102,1650,07-03-2016
64,392,20-03-2016
43,649,03-03-2016
50,520,30-08-2017
2,174,17-12-2016
126,1092,14-10-2017
111,1005,31-07-2015
124,363,19-10-2016
53,1322,26-07-2017
34,349,19-02-2017
91,1374,26-05-2015
7,869,12-05-2016
15,849,11-03-2017
128,657,28-06-2015
82,789,26-11-2017
133,1488,09-12-2016
38,896,10-09-2016
81,1185,06-09-2016
137,1139,09-05-2017
33,172,20-10-2016
132,1011,08-10-2016
124,1415,12-12-2015
67,931,22-05-2015
91,832,28-11-2017
119,770,04-08-2017
142,1136,02-10-2015
43,1046,22-01-2016
26,612,23-10-2017
113,1359,22-09-2015
1,1376,09-06-2017
40,429,25-02-2016
102,1314,08-08-2016
59,1177,21-07-2017
56,1610,22-04-2016
72,776,02-09-2016
24,1227,16-01-2017
126,586,10-06-2016
70,380,16-09-2016
20,1391,05-07-2015
72,464,26-03-2016
51,285,23-07-2016
87,209,13-01-2017
56,252,26-09-2016
140,346,04-07-2015
88,199,01-06-2016
40,1624,17-06-2016
120,573,04-07-2015
134,606,05-03-2017
34,354,14-09-2017
119,610,20-09-2016
131,1052,13-11-2016
43,774,02-09-2016
79,498,15-02-2017
139,1358,30-11-2015
148,401,24-02-2017
76,497,31-08-2015
69,337,11-01-2017
41,870,24-08-2015
19,1476,11-09-2017
13,321,06-02-2017
57,1060,09-10-2015
24,1184,04-09-2016
50,1255,18-05-2017
83,196,16-09-2017
83,539,05-12-2015
140,1459,29-11-2015
149,629,07-11-2017
89,350,06-09-2017
68,873,06-06-2015
80,1220,05-06-2016
40,709,25-12-2016
109,735,07-07-2017
8,1595,04-02-2017
8,654,06-05-2017
105,947,13-02-2017
62,1050,03-07-2016
49,1207,21-12-2016
7,453,11-03-2017
130,530,07-07-2017
131,1557,22-11-2017
30,156,19-07-2016
130,1345,20-11-2015
44,1109,28-06-2015
148,249,16-07-2015
14,523,16-09-2017
9,1141,14-12-2015
133,1414,31-12-2016
70,1174,13-05-2016
137,795,19-04-2017
43,652,07-12-2015
107,417,19-06-2015
43,1176,19-02-2017
13,320,23-07-2016
82,202,19-01-2016
48,489,10-05-2017
113,1644,29-11-2016
61,761,22-11-2015
128,394,04-03-2017
147,554,15-08-2017
67,153,07-06-2016
42,736,23-10-2015
1,801,30-10-2017
62,932,30-12-2016
66,1076,18-01-2016
38,1090,08-06-2015
100,1387,28-01-2017
52,288,31-07-2017
31,1295,29-03-2016
57,1545,19-11-2017
1,965,03-06-2016
27,695,30-04-2017
26,564,03-03-2016
69,1533,15-03-2017
16,245,28-11-2016
43,749,22-12-2017
26,1288,23-05-2017
123,977,21-04-2016
98,889,09-10-2015
132,473,09-11-2015
17,1480,23-12-2017
61,1102,29-05-2016
29,1055,29-06-2017
129,1241,18-11-2016
110,790,30-08-2015
68,1392,12-05-2016
26,1300,26-09-2017
85,1547,09-09-2015
64,833,05-04-2016
110,571,05-06-2017
127,499,20-07-2015
98,690,10-10-2015
117,968,12-06-2016
20,607,20-05-2015
123,839,29-04-2016
47,1222,25-09-2015
86,1340,16-06-2015
40,485,28-06-2016
110,1151,02-11-2015
136,848,22-11-2015
53,383,19-02-2016
108,785,28-08-2017
63,673,20-12-2015
42,1070,07-02-2016
27,448,22-01-2017
102,883,02-12-2017
110,626,03-01-2017
22,614,22-04-2016
43,1057,20-09-2017
149,1423,23-10-2015
27,550,27-12-2016
68,1500,22-10-2015
104,1235,31-08-2017
135,756,09-11-2016
144,333,26-09-2016
13,1148,13-02-2017
85,1072,16-09-2016
114,192,30-07-2016
15,447,02-12-2016
56,1175,03-03-2016
51,903,15-12-2015
71,989,06-11-2016
26,247,05-01-2016
54,575,29-01-2016
85,893,21-07-2017
60,1048,25-06-2015
124,496,20-10-2015
55,287,29-05-2016
128,1158,22-02-2017
2,255,04-06-2016
9,533,31-03-2016
45,862,06-01-2016
126,1591,25-08-2015
146,1537,03-09-2016
68,1117,24-08-2016
99,263,05-06-2017
1,1485,29-12-2017
1,600,21-07-2015
1,400,08-03-2016
1,1412,04-02-2016
1,1305,10-08-2015
1,1197,03-02-2016
1,751,17-12-2016
1,1579,21-09-2017
1,155,02-02-2016
1,1483,13-12-2017
1,510,13-01-2017
1,433,24-12-2017
1,405,09-04-2016
1,1099,22-05-2017
1,923,22-03-2016
1,1210,27-12-2015
1,1001,23-11-2017
1,412,28-03-2017
1,1377,20-01-2017
1,803,16-05-2015
1,884,06-02-2016
1,1327,13-06-2017
1,1297,30-12-2015
1,1079,18-04-2016
1,1264,31-05-2015
1,1260,20-01-2016
1,867,24-08-2016
1,1395,29-12-2017
1,264,17-09-2017
1,1351,30-09-2016
1,413,12-12-2015
1,1555,05-09-2015
1,1146,21-06-2015
1,305,27-08-2016
1,1096,20-10-2016
1,914,25-10-2016
1,1349,24-03-2017
1,1239,03-05-2016
1,949,04-10-2015
1,1418,22-07-2015
1,680,09-12-2015
1,744,29-06-2015
1,955,31-05-2017
1,1073,09-10-2015
1,583,16-06-2015
1,557,26-05-2017
1,170,28-12-2017
1,983,11-10-2017
1,1447,11-10-2016
1,442,31-05-2017
